재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 반기 3개월 ,당기 반기 누적 ,전기 반기 3개월 ,전기 반기 누적 ,전기,전전기
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,dart_NonOperatingProfitLoss,      기타순손익,"-995,398,000","-939,970,000","164,235,045,000","164,248,157,000",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,dart_OperatingIncomeLoss,      영업이익,"62,420,080,000","89,864,729,000","25,561,081,000","93,062,267,000",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,dart_BasicEarningsLossPerSharePreferredStock,         우선주기본주당순이익,"1,698","2,419","3,892","6,243",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,dart_DilutedEarningsLossPerSharePreferredStock,         우선주희석주당순이익,"1,698","2,419","3,892","6,243",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,entity00148540_BasicEarningsLossPerShareOfNewPreferenceSharesOfEarningsPerShareAbstract,         신형우선주주당순이익,"1,686","2,394","3,867","6,218",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,entity00148540_DilutedEarningsLossPerShareOfNewPreferenceSharesOfEarningsPerShareAbstract,         신형우선주희석주당순이익,"1,686","2,394","3,867","6,218",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,ifrs-full_BasicEarningsLossPerShare,         보통주 기본주당순이익,"1,686","2,394","3,867","6,218",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,ifrs-full_DilutedEarningsLossPerShare,         보통주 희석주당순이익,"1,686","2,394","3,867","6,218",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,ifrs-full_FinanceCosts,      금융비용,"2,784,743,000","5,531,387,000","3,541,938,000","6,322,020,000",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,ifrs-full_FinanceIncome,      금융수익,"118,123,000","505,084,000","402,618,000","661,989,000",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,ifrs-full_IncomeTaxExpenseContinuingOperations,      법인세비용,"2,210,988,000","3,574,246,000","40,660,421,000","43,103,467,000",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,ifrs-full_OperatingExpense,      영업비용,"49,269,054,000","72,491,450,000","36,484,296,000","56,795,469,000",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,ifrs-full_ProfitLoss,      반기순이익,"56,547,074,000","80,324,210,000","145,996,385,000","208,546,926,000",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,ifrs-full_ProfitLossBeforeTax,      법인세비용차감전순이익,"58,758,062,000","83,898,456,000","186,656,806,000","251,650,393,000",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,ifrs-full_Revenue,      매출액,"111,689,134,000","162,356,179,000","62,045,377,000","149,857,736,000",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,ifrs-full_OtherRevenue,         기타수익,"22,873,552,000","24,353,495,000","23,147,360,000","24,621,720,000",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,ifrs-full_RevenueFromDividends,         배당금수익,"59,100,557,000","81,634,265,000","10,294,749,000","68,936,053,000",,
"손익계산서, 기능별 분류 - 별도",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2025-06-30,반기보고서,KRW,ifrs-full_RevenueFromRoyalties,         로열티수익,"29,715,025,000","56,368,419,000","28,603,268,000","56,299,963,000",,
