종목코드,회사명,업종,연도,분기,매출액,영업이익,당기순이익,매출액_IFRS코드,매출액_한글명,영업이익_IFRS코드,영업이익_한글명,당기순이익_IFRS코드,당기순이익_한글명
000650,천일고속,육상 여객 운송업,2016,1Q,14451788459,740158823,1152075447,ifrs_Revenue,Ⅰ. 매출액,dart_OperatingIncomeLoss,Ⅴ. 영업이익(손실),ifrs_ProfitLoss,당기순이익
000650,천일고속,육상 여객 운송업,2016,2Q,14363968737,641958825,2472499622,ifrs_Revenue,Ⅰ. 매출액,dart_OperatingIncomeLoss,Ⅴ. 영업이익(손실),ifrs_ProfitLoss,당기순이익
000650,천일고속,육상 여객 운송업,2016,3Q,15004875031,382096512,760162332,ifrs_Revenue,Ⅰ. 매출액,dart_OperatingIncomeLoss,Ⅴ. 영업이익(손실),ifrs_ProfitLoss,당기순이익
000650,천일고속,육상 여객 운송업,2016,4Q,14592728700,-683363207,-349712602,ifrs_Revenue,Ⅰ. 매출액,dart_OperatingIncomeLoss,Ⅴ. 영업이익(손실),ifrs_ProfitLoss,당기순이익
000650,천일고속,육상 여객 운송업,2017,1Q,13931538702,-225336478,88235208,ifrs_Revenue,Ⅰ. 매출액,dart_OperatingIncomeLoss,Ⅴ. 영업이익(손실),entity00151395_udf_IS_2019312955211_StatementOfComprehensiveIncomeAbstract,ⅩⅠ.당기순이익(손실)
000650,천일고속,육상 여객 운송업,2017,2Q,13589554970,80290855,2915972401,ifrs_Revenue,Ⅰ. 매출액,dart_OperatingIncomeLoss,Ⅴ. 영업이익(손실),entity00151395_udf_IS_2019312955211_StatementOfComprehensiveIncomeAbstract,ⅩⅠ.당기순이익(손실)
000650,천일고속,육상 여객 운송업,2017,3Q,13834264262,-802546193,32471865629,ifrs_Revenue,Ⅰ. 매출액,dart_OperatingIncomeLoss,Ⅴ. 영업이익(손실),entity00151395_udf_IS_2019312955211_StatementOfComprehensiveIncomeAbstract,ⅩⅠ.당기순이익(손실)
000650,천일고속,육상 여객 운송업,2017,4Q,13890564283,-1063775554,-606724817,ifrs_Revenue,Ⅰ. 매출액,dart_OperatingIncomeLoss,Ⅴ. 영업이익(손실),entity00151395_udf_IS_2019312955211_StatementOfComprehensiveIncomeAbstract,ⅩⅠ.당기순이익(손실)
000650,천일고속,육상 여객 운송업,2018,1Q,13599126295,-104733552,207009320,ifrs-full_Revenue,Ⅰ. 매출액,dart_OperatingIncomeLoss,Ⅴ. 영업이익(손실),ifrs-full_ProfitLoss,당기순이익(손실)
000650,천일고속,육상 여객 운송업,2018,2Q,13516632075,-967612646,943312575,ifrs-full_Revenue,Ⅰ. 매출액,dart_OperatingIncomeLoss,Ⅴ. 영업이익(손실),ifrs-full_ProfitLoss,당기순이익(손실)
