재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기 3개월	당기 3분기 누적	전기 3분기 3개월	전기 3분기 누적	전기	전전기
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	      영업이익	10,166,195,000	105,463,722,000	3,525,808,000	106,540,690,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_OperatingExpenseOfIncomeStatementAbstract	      영업비용	27,337,636,000	77,198,711,000	32,631,400,000	72,757,878,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_OtherGainsLossesOfIncomeStatementAbstract	      기타순손익	41,930,000	126,308,000	9,626,000	63,349,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_RevenueOfIncomeStatementAbstract	      영업수익	37,503,831,000	182,662,433,000	36,157,208,000	179,298,568,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_DividendIncomeOfRevenueOfIncomeStatementAbstract	         배당금수익	7,778,249,000	96,284,543,000	7,504,825,000	97,702,957,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_OtherRevenueOfRevenueOfIncomeStatementAbstract	         기타수익	1,432,808,000	4,251,891,000	1,604,890,000	4,800,296,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_RevenueFromRoyaltiesOfRevenueOfIncomeStatementAbstract	         로열티수익	28,292,774,000	82,125,999,000	27,047,493,000	76,795,315,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_BasicEarningsLossPerShareOfNewPreferenceSharesOfEarningsPerShareAbstract	         신형우선주 기본주당이익	277	2,970	79	2,945		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_DilutedEarningsLossPerShareOfNewPreferenceSharesOfEarningsPerShareAbstract	         신형우선주 희석주당이익	277	2,970	79	2,945		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_udf_IS_2023117203959841OfEarningsPerShareAbstract	         우선주 기본주당이익	290	3,008	92	2,983		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_udf_IS_2023117204023689OfEarningsPerShareAbstract	         우선주 희석주당이익	290	3,008	92	2,983		
