재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기 3개월	당기 3분기 누적	전기 3분기 3개월	전기 3분기 누적	전기	전전기
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	      영업이익	637,467,872,000	1,465,702,296,000	640,046,133,000	1,825,904,853,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비	2,406,535,979,000	7,036,454,504,000	2,356,873,924,000	6,659,959,976,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_NonOperatingExpenseOfIncomeStatementAbstract	      기타영업외비용	135,125,503,000	382,804,755,000	116,090,001,000	398,559,713,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_NonOperatingIncomeOfIncomeStatementAbstract	      기타영업외수익	223,732,291,000	342,593,542,000	98,681,170,000	262,758,850,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethodOfIncomeStatementAbstract	      공동기업 및 관계기업투자주식에 대한 지분법손익	-4,171,706,000	-11,156,236,000	-42,774,324,000	-66,168,504,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	ifrs-full_CostOfSales	      매출원가	7,575,023,350,000	22,184,642,968,000	7,894,581,212,000	21,833,094,259,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_BasicEarningsLossPerShareNewPreferredStockOfEarningsPerShareAbstract	         신형우선주 주당순이익	4,094	4,785	2,368	8,159		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_BasicEarningsLossPerSharePreferredStockOfEarningsPerShareAbstract	         우선주 주당순이익	4,106	4,822	2,380	8,196		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_DilutedEarningsLossPerShareNewPreferredStockOfEarningsPerShareAbstract	         신형우선주 희석주당순이익	4,094	4,785	2,368	8,159		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	entity00148540_DilutedEarningsLossPerSharePreferredStockOfEarningsPerShareAbstract	         우선주 희석주당순이익	4,106	4,822	2,380	8,196		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주 주당순이익	4,094	4,785	2,368	8,159		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         보통주 희석주당순이익	4,094	4,785	2,368	8,159		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	ifrs-full_FinanceCosts	      금융비용	336,889,652,000	1,134,031,576,000	580,362,960,000	1,308,534,590,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	ifrs-full_FinanceIncome	      금융수익	122,499,655,000	512,146,987,000	394,186,521,000	809,403,577,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	ifrs-full_GrossProfit	      매출총이익	3,044,003,851,000	8,502,156,800,000	2,996,920,057,000	8,485,864,829,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	150,656,933,000	389,055,664,000	148,698,789,000	378,183,910,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	ifrs-full_ProfitLoss	      분기순이익	356,856,024,000	403,394,594,000	244,987,750,000	746,620,563,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	         비지배지분	219,542,947,000	242,873,051,000	165,569,357,000	472,956,917,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	         지배기업의소유주	137,313,077,000	160,521,543,000	79,418,393,000	273,663,646,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익	507,512,957,000	792,450,258,000	393,686,539,000	1,124,804,473,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-09-30	3분기보고서	KRW	ifrs-full_Revenue	      매출액	10,619,027,201,000	30,686,799,768,000	10,891,501,269,000	30,318,959,088,000		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	      영업이익	124,793,052,129	336,222,063,218	107,655,027,409	299,445,908,086		
