재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기말	전기말	전전기말	
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2023-09-30	3분기보고서	KRW	dart_AdditionalImpairmentLossesOfFinancialAssets	            신용손실충당금 전입액	33,486,100,233		
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2023-09-30	3분기보고서	KRW	dart_GainArisingFromDerecognitionOfFinancialInstrumentsMeasuredAtAmortisedCost	            상각후원가측정금융상품제거이익	191,660,152		
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2023-09-30	3분기보고서	KRW	dart_GainFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융상품관련이익	911,238,104		
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2023-09-30	3분기보고서	KRW	dart_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융상품관련이익	212,986,052,588		
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2023-09-30	3분기보고서	KRW	dart_ReversalsOfImpairmentLossesOfFinancialAssets	            신용손실충당금 환입액	9,749,293,897		
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2023-09-30	3분기보고서	KRW	dart_InvestmentIncomeExpenses	      투자손익	374,239,793,436		
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2023-09-30	3분기보고서	KRW	dart_OperatingExpenseInvestment	         투자영업비용	1,925,203,447,839		
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2023-09-30	3분기보고서	KRW	dart_InsuranceFinanceExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss	            보험금융비용	657,364,303,619		
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2023-09-30	3분기보고서	KRW	dart_LossArisingFromDerecognitionOfFinancialInstrumentsMeasuredAtAmortisedCost	            상각후원가측정금융상품제거손실	62,677,429		
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2023-09-30	3분기보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융상품관련손실	15,760,666,083		
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2023-09-30	3분기보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융상품관련손실	148,856,101,466		
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2023-09-30	3분기보고서	KRW	dart_LossesFromDerivatives	            파생상품관련비용	758,339,167,417		
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2023-09-30	3분기보고서	KRW	dart_OtherOperatingExpenseInvestment	            기타투자영업비용	31,038,146,822		
