재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기말	전기말	전전기말	
 포괄손익계산서, 증권 - 별도	[016610]	DB금융투자	유가증권시장상장법인	661	금융 지원 서비스업	12	2023-09-30	3분기보고서	KRW	dart_GainFromFinancialInstruments	      금융상품관련수익	422,722,312,121		
 포괄손익계산서, 증권 - 별도	[016610]	DB금융투자	유가증권시장상장법인	661	금융 지원 서비스업	12	2023-09-30	3분기보고서	KRW	dart_GainFromFinancialInstrumentsAtAmortisedCost	         대출채권평가및처분이익	0		
 포괄손익계산서, 증권 - 별도	[016610]	DB금융투자	유가증권시장상장법인	661	금융 지원 서비스업	12	2023-09-30	3분기보고서	KRW	dart_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	         당기손익-공정가치측정금융상품관련이익	422,722,312,121		
 포괄손익계산서, 증권 - 별도	[016610]	DB금융투자	유가증권시장상장법인	661	금융 지원 서비스업	12	2023-09-30	3분기보고서	KRW	dart_LossFromFinancialInstruments	      금융상품관련비용	415,199,972,113		
 포괄손익계산서, 증권 - 별도	[016610]	DB금융투자	유가증권시장상장법인	661	금융 지원 서비스업	12	2023-09-30	3분기보고서	KRW	dart_LossFromFinancialInstrumentsAtAmortisedCost	         대출채권평가및처분손실	11,460,084,824		
 포괄손익계산서, 증권 - 별도	[016610]	DB금융투자	유가증권시장상장법인	661	금융 지원 서비스업	12	2023-09-30	3분기보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	         당기손익-공정가치측정금융상품관련손실	403,739,887,289		
 포괄손익계산서, 증권 - 별도	[016610]	DB금융투자	유가증권시장상장법인	661	금융 지원 서비스업	12	2023-09-30	3분기보고서	KRW	dart_NonOperatingExpense	      영업외비용	615,246,130		
 포괄손익계산서, 증권 - 별도	[016610]	DB금융투자	유가증권시장상장법인	661	금융 지원 서비스업	12	2023-09-30	3분기보고서	KRW	dart_NonOperatingIncome	      영업외수익	2,097,759,827		
 포괄손익계산서, 증권 - 별도	[016610]	DB금융투자	유가증권시장상장법인	661	금융 지원 서비스업	12	2023-09-30	3분기보고서	KRW	dart_OtherOperatingExpense	      기타영업비용	39,948,490,471		
 포괄손익계산서, 증권 - 별도	[016610]	DB금융투자	유가증권시장상장법인	661	금융 지원 서비스업	12	2023-09-30	3분기보고서	KRW	ifrs-full_ForeignExchangeLoss	         외환거래손실	18,702,728,643		
