재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기 3개월 	당기 반기 누적 	전기 반기 3개월 	전기 반기 누적 	전기	전전기
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	ifrs-full_Revenue	매출액	10,290,328,664,000	20,067,772,567,000	10,309,493,942,000	19,427,457,819,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	ifrs-full_CostOfSales	매출원가	7,461,767,435,000	14,609,619,618,000	7,381,102,126,000	13,938,513,047,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	ifrs-full_GrossProfit	매출총이익	2,828,561,229,000	5,458,152,949,000	2,928,391,816,000	5,488,944,772,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	2,329,670,297,000	4,629,918,524,000	2,240,346,500,000	4,303,086,052,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	영업이익	498,890,932,000	828,234,425,000	688,045,316,000	1,185,858,720,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	ifrs-full_FinanceIncome	금융수익	165,092,080,000	389,647,332,000	225,240,131,000	415,217,056,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	ifrs-full_FinanceCosts	금융비용	376,115,520,000	797,141,924,000	403,402,200,000	728,171,630,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	entity00148540_udf_IS_202081110523392_IncomeStatementAbstract	공동기업 및 관계기업투자주식에 대한 지분법손익	-1,478,019,000	-6,984,530,000	-20,795,484,000	-23,394,180,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	dart_OtherGains	기타영업외수익	48,335,841,000	118,861,252,000	85,376,440,000	164,077,680,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	dart_OtherLosses	기타영업외비용	176,980,960,000	247,679,253,000	145,933,071,000	282,469,712,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익	157,744,354,000	284,937,302,000	428,531,132,000	731,117,934,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용	122,927,302,000	238,398,731,000	132,531,843,000	229,485,121,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	ifrs-full_ProfitLoss	반기순이익	34,817,052,000	46,538,571,000	295,999,289,000	501,632,813,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	ifrs-full_ProfitLossAttributableToAbstract	반기순이익의 귀속						
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	   지배기업의소유주	12,332,490,000	23,208,466,000	111,669,665,000	194,245,253,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	   비지배지분	22,484,562,000	23,330,105,000	184,329,624,000	307,387,560,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   보통주주당순이익	366	690	3,329	5,791		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-06-30	반기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	   보통주희석주당순이익	366	690	3,329	5,791		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-06-30	반기보고서	KRW	ifrs-full_Revenue	매출액	2,962,432,372,580	5,770,252,075,403	3,136,935,075,821	5,993,887,943,782		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-06-30	반기보고서	KRW	ifrs-full_CostOfSales	매출원가	2,635,019,771,332	5,132,965,124,425	2,819,256,547,652	5,421,039,878,657		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-06-30	반기보고서	KRW	ifrs-full_GrossProfit	매출총이익	327,412,601,248	637,286,950,978	317,678,528,169	572,848,065,125		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-06-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	215,019,409,338	425,857,939,889	201,549,257,454	381,057,184,448		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	영업이익	112,393,191,910	211,429,011,089	116,129,270,715	191,790,880,677		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-06-30	반기보고서	KRW	ifrs-full_FinanceIncome	금융수익	20,987,995,641	53,412,027,513	24,640,791,188	39,451,820,973		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-06-30	반기보고서	KRW	ifrs-full_FinanceCosts	금융원가	55,743,562,082	114,089,221,621	45,999,937,484	83,384,464,750		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-06-30	반기보고서	KRW	dart_OtherGains	기타수익	3,853,409,988	5,456,806,566	4,539,758,005	7,227,484,877		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-06-30	반기보고서	KRW	dart_OtherLosses	기타비용	15,086,125,566	27,068,450,708	12,624,847,400	25,602,162,720		
