재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	dart_AdjustedProfitLossNetOfRegulatoryReserveForCreditLoss	      대손준비금 반영후 조정이익(손실)	118,659,021,460	181,140,785,797	126,015,389,240
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	dart_GainLossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	      당기손익-공정가치측정금융상품관련손익	10,357,994,431	20,383,209,855	32,582,958,206
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	dart_NonOperatingProfitLoss	      영업외손익	-11,631,580,887	448,058,333	974,012,369
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	dart_NonOperatingExpense	         영업외비용	18,129,151,604	6,326,651,947	5,878,032,220
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	dart_NonOperatingIncome	         영업외수익	6,497,570,717	6,774,710,280	6,852,044,589
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	dart_OtherOperatingExpense	      기타영업비용	514,168,603,136	455,385,910,063	393,791,573,347
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	dart_OtherOperatingIncome	      기타영업수익	619,958,115,658	500,633,356,564	428,882,144,812
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_AdditionalAllowanceRecognisedInProfitOrLossAllowanceAccountForCreditLossesOfFinancialAssets	      신용손실충당금 전입액	190,926,833,278	118,531,747,367	165,932,217,812
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncome	      총포괄손익	117,952,937,721	183,374,940,793	126,580,753,532
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주기본주당이익(손실)	1,903	3,027	2,552
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         보통주희석주당이익(손실)	1,903	3,027	2,552
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_FeeAndCommissionIncomeExpense	      순수수료손익	22,017,381,966	53,177,963,401	44,372,419,322
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_FeeAndCommissionExpense	         수수료비용	9,695,635,721	12,364,913,565	15,955,965,923
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_FeeAndCommissionIncome	         수수료수익	31,713,017,687	65,542,876,966	60,328,385,245
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	32,190,438,000	59,139,469,610	41,557,366,661
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_InterestRevenueExpense	      순이자손익	299,604,744,487	326,946,759,406	300,389,490,604
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_InterestExpense	         이자비용	219,665,646,337	163,418,411,533	129,911,934,544
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_RevenueFromInterest	         이자수익	519,270,390,824	490,365,170,939	430,301,425,148
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncome	      기타포괄손익	-706,083,739	2,234,154,996	565,364,292
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans	            확정급여제도의재측정요소	-706,083,739	2,234,154,996	565,364,292
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)	118,659,021,460	181,140,785,797	126,015,389,240
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세차감전순이익	150,849,459,460	240,280,255,407	167,572,755,901
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLossFromOperatingActivities	      영업이익(손실)	162,481,040,347	239,832,197,074	166,598,743,532
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_SellingGeneralAndAdministrativeExpense	      일반관리비	84,361,759,781	87,391,434,722	79,904,478,253
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	dart_GainLossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	      당기손익-공정가치측정 금융상품관련 순이익(손실)	30,504,964,238	-24,513,224,693	4,926,893,199
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	dart_NonOperatingProfitLoss	      영업외순이익(손실)	-5,523,404,394	-9,006,845,920	-2,426,232,852
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	      보통주기본주당이익(손실)	959	780	744
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncome	      총포괄손익	182,017,633,571	151,779,349,412	140,992,947,597
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_FeeAndCommissionIncomeExpense	      순수수료손익	-1,908,453,999	-2,651,288,730	-3,817,692,322
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_FeeAndCommissionExpense	         수수료비용	3,848,512,459	3,671,977,273	5,317,580,726
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_FeeAndCommissionIncome	         수수료수익	1,940,058,460	1,020,688,543	1,499,888,404
