재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기 3개월 	당기 반기 누적 	전기 반기 3개월 	전기 반기 누적 	전기	전전기
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	dart_NonOperatingProfitLoss	      기타순손익	164,235,045,000	164,248,157,000	5,437,000	84,377,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)	25,561,081,000	93,062,267,000	11,891,665,000	95,297,525,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	dart_BasicEarningsLossPerSharePreferredStock	         우선주 주당순이익	3,892	6,243	318	2,718		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	dart_DilutedEarningsLossPerSharePreferredStock	         우선주 희석주당순이익	3,892	6,243	318	2,718		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	entity00148540_BasicEarningsLossPerShareOfNewPreferenceSharesOfEarningsPerShareAbstract	         신형우선주 기본주당이익	3,867	6,218	305	2,693		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	entity00148540_DilutedEarningsLossPerShareOfNewPreferenceSharesOfEarningsPerShareAbstract	         신형우선주 희석주당이익	3,867	6,218	305	2,693		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주 주당순이익	3,867	6,218	305	2,693		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         보통주 희석주당순이익	3,867	6,218	305	2,693		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceCosts	      금융비용	3,541,938,000	6,322,020,000	1,362,860,000	4,415,113,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceIncome	      금융수익	402,618,000	661,989,000	745,158,000	2,278,797,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	40,660,421,000	43,103,467,000	1,014,160,000	2,896,438,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_OperatingExpense	      영업비용	36,484,296,000	56,795,469,000	24,149,847,000	49,861,075,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLoss	      반기순이익	145,996,385,000	208,546,926,000	10,265,240,000	90,349,148,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익	186,656,806,000	251,650,393,000	11,279,400,000	93,245,586,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_Revenue	      매출액	62,045,377,000	149,857,736,000	36,041,512,000	145,158,600,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_OtherRevenue	         기타수익	23,147,360,000	24,621,720,000	1,379,607,000	2,819,082,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_RevenueFromDividends	         배당금수익	10,294,749,000	68,936,053,000	7,778,249,000	88,506,294,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_RevenueFromRoyalties	         로열티수익	28,603,268,000	56,299,963,000	26,883,656,000	53,833,224,000		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2024-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)	89,912,704,079	167,477,569,574	79,256,710,908	143,639,434,223		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2024-06-30	반기보고서	KRW	dart_OtherGains	      기타이익	952,767,352	2,312,922,324	1,503,259,673	1,897,010,976		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2024-06-30	반기보고서	KRW	dart_OtherLosses	      기타손실	4,407,374,714	6,966,952,511	9,012,693,420	13,663,333,742		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2024-06-30	반기보고서	KRW	ifrs-full_CostOfSales	      매출원가	1,840,440,036,544	3,615,722,552,476	1,798,192,409,472	3,498,453,850,920		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2024-06-30	반기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         지배기업 소유주 기본주당이익	2,027	5,864	1,523	4,590		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceCosts	      금융원가	36,325,942,441	69,969,912,193	35,460,733,504	76,331,285,370		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceIncome	      금융수익	8,074,108,758	57,318,880,245	9,316,693,167	67,089,155,788		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2024-06-30	반기보고서	KRW	ifrs-full_GrossProfit	      매출총이익	250,722,631,529	479,053,634,862	230,090,663,180	439,858,630,322		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2024-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	16,261,670,317	28,859,065,760	10,667,342,098	21,978,654,534		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLoss	      반기순이익	41,944,592,717	121,313,441,679	34,935,894,726	100,652,327,341		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익	58,206,263,034	150,172,507,439	45,603,236,824	122,630,981,875		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2024-06-30	반기보고서	KRW	ifrs-full_Revenue	      매출액	2,091,162,668,073	4,094,776,187,338	2,028,283,072,652	3,938,312,481,242		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2024-06-30	반기보고서	KRW	ifrs-full_SellingGeneralAndAdministrativeExpense	      판매비와관리비	160,809,927,450	311,576,065,288	150,833,952,272	296,219,196,099		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)	63,595,277,854	101,765,236,126	83,278,211,249	162,412,554,479		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-06-30	반기보고서	KRW	dart_OtherGains	      기타영업외수익	9,841,492,814	22,308,247,718	9,322,531,355	22,658,490,618		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-06-30	반기보고서	KRW	dart_OtherLosses	      기타영업외비용	2,692,631,162	5,874,874,209	3,232,629,154	11,071,772,655		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-06-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비	36,127,907,403	70,357,759,947	36,944,672,566	78,148,376,714		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_CostOfSales	      매출원가	163,854,271,515	325,775,725,822	180,635,320,684	335,875,426,834		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본주당이익(손실)	1,384	2,359	1,876	3,577		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         희석주당이익(손실)	1,384	2,359	1,876	3,577		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceCosts	      금융비용	1,808,060,956	3,490,030,182	2,421,127,941	5,232,446,699		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceIncome	      금융수익	8,532,674,868	18,542,852,146	12,145,452,022	25,204,214,726		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_GrossProfit	      매출총이익	99,723,185,257	172,122,996,073	120,222,883,815	240,560,931,193		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)	19,755,320,451	34,819,670,759	19,727,674,484	40,599,290,070		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)	57,713,432,967	98,431,760,840	79,364,763,047	153,371,750,399		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)	77,468,753,418	133,251,431,599	99,092,437,531	193,971,040,469		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_Revenue	      수익(매출액)	263,577,456,772	497,898,721,895	300,858,204,499	576,436,358,027		
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	      영업이익		10,756,232,243				
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-06-30	반기보고서	KRW	dart_OtherGains	      기타수익		1,226,248,205				
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-06-30	반기보고서	KRW	dart_OtherLosses	      기타비용		150,973,803				
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_CostOfSales	      매출원가		3,118,835,412				
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-06-30	반기보고서	KRW	dart_BasicEarningsLossPerSharePreferredStock	         우선주 기본 및 희석주당이익(손실)		296				
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주 기본 및 희석주당이익(손실)		271				
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceCosts	      금융비용		9,930,647,017				
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceIncome	      금융수익		5,265,157,864				
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_GrossProfit	      매출총이익		15,941,700,024				
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)		997,931,459				
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLoss	      반기순이익(손실)		6,168,086,033				
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		7,166,017,492				
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_Revenue	      매출액		19,060,535,436				
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_SellingGeneralAndAdministrativeExpense	      판매비및관리비		5,185,467,781				
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)	23,124,615,012	51,113,254,867	42,067,964,799	94,223,537,982		
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-06-30	반기보고서	KRW	dart_OtherGains	      기타이익	28,883,670,383	62,018,931,653	7,205,647,649	59,085,877,385		
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-06-30	반기보고서	KRW	dart_OtherLosses	      기타손실	33,799,570,347	106,789,408,779	29,600,226,356	52,946,558,014		
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-06-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비	92,876,402,164	182,197,297,937	96,042,102,274	172,877,066,195		
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-06-30	반기보고서	KRW	ifrs-full_CostOfSales	      매출원가	1,149,478,271,644	2,171,026,794,279	1,167,147,107,697	2,268,626,534,482		
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-06-30	반기보고서	KRW	dart_BasicEarningsLossPerSharePreferredStock	         우선주기본주당순이익(손실)	415	528	482	1,586		
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-06-30	반기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본주당이익(손실)	684	778	700	2,646		
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceCosts	      금융원가	18,593,063,477	39,739,684,164	14,800,138,922	32,610,618,121		
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceIncome	      금융수익	40,457,005,274	85,042,672,269	34,790,057,673	81,390,977,077		
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-06-30	반기보고서	KRW	ifrs-full_GrossProfit	      매출총이익	116,001,017,176	233,310,552,804	138,110,067,073	267,100,604,177		
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)	11,922,927,338	19,961,874,999	11,154,669,388	42,118,521,992		
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLoss	      반기순이익	28,149,729,507	31,683,890,847	28,508,635,455	107,024,694,317		
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)	40,072,656,845	51,645,765,846	39,663,304,843	149,143,216,309		
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-06-30	반기보고서	KRW	ifrs-full_Revenue	      수익(매출액)	1,265,479,288,820	2,404,337,347,083	1,305,257,174,770	2,535,727,138,659		
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)	74,163,144,675	156,920,263,209	15,279,461,672	31,366,655,874		
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-06-30	반기보고서	KRW	dart_OtherGains	      기타수익	5,541,383,638	13,069,139,265	3,711,682,786	26,053,234,932		
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-06-30	반기보고서	KRW	dart_OtherLosses	      기타비용	2,855,050,063	4,946,945,434	3,426,895,688	9,507,052,653		
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-06-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비및관리비	41,318,516,609	81,154,034,964	35,864,324,984	79,008,980,704		
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_CostOfSales	      매출원가	399,580,946,666	778,595,059,015	285,889,372,504	650,888,856,287		
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주 기본 및 희석 주당이익(손실)	2,526	5,330	10	-799		
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceCosts	      금융비용	54,873,837,880	122,895,930,759	25,998,526,282	75,665,251,682		
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceIncome	      금융수익	8,366,947,981	20,576,393,662	2,588,611,159	7,624,465,952		
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_GrossProfit	      매출총이익	115,481,661,284	238,074,298,173	51,143,786,656	110,375,636,578		
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)	7,281,948,870	14,052,023,589	-7,936,430,115	-12,831,341,534		
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLoss	      반기순이익(손실)	23,060,639,481	48,670,896,354	90,763,762	-7,296,606,043		
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)	30,342,588,351	62,722,919,943	-7,845,666,353	-20,127,947,577		
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_Revenue	      매출액	515,062,607,950	1,016,669,357,188	337,033,159,160	761,264,492,865		
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)	3,604,609,124	7,951,778,103	4,688,946,799	10,625,957,985		
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-06-30	반기보고서	KRW	dart_OtherGains	      기타수익	1,156,928,458	2,286,672,782	741,398,842	1,928,109,711		
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-06-30	반기보고서	KRW	dart_OtherLosses	      기타비용	695,708,101	1,049,203,107	433,425,537	1,151,730,559		
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-06-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비	4,396,585,597	7,613,906,862	4,570,922,830	8,041,806,713		
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_CostOfSales	      매출원가	46,171,683,437	84,431,658,542	40,544,352,613	77,751,780,711		
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본주당이익(손실)	224	482	249	579		
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceCosts	      금융비용	2,312,532,373	4,951,202,115	2,815,697,612	6,549,714,653		
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceIncome	      금융수익	2,486,966,640	5,249,494,320	2,886,698,453	7,092,525,027		
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_GrossProfit	      매출총이익	8,001,194,721	15,565,684,965	9,259,869,629	18,667,764,698		
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)	655,307,538	1,776,351,981	1,087,885,871	2,685,810,030		
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLoss	      반기순이익(손실)	3,584,956,210	7,711,188,002	3,980,035,074	9,259,337,481		
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)	4,240,263,748	9,487,539,983	5,067,920,945	11,945,147,511		
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-06-30	반기보고서	KRW	ifrs-full_Revenue	      수익(매출액)	54,172,878,158	99,997,343,507	49,804,222,242	96,419,545,409		
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)	14,532,000,000	433,310,000,000	16,588,000,000	642,195,000,000		
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	dart_OtherGains	      기타이익	11,000,000	22,000,000	32,000,000	40,000,000		
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	dart_OtherLosses	      기타손실	1,669,000,000	1,688,000,000	103,000,000	105,000,000		
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비	27,599,000,000	48,801,000,000	24,828,000,000	45,632,000,000		
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	entity00500254_BasicEarningsLossPerSharePreferredStocKOfEarningsPerShareAbstract	         우선주기본주당순이익(손실)	119	4,489	105	6,627		
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본주당이익(손실) 합계	107	4,464	93	6,602		
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceCosts	      금융원가	8,041,000,000	18,222,000,000	7,489,000,000	20,608,000,000		
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_FinanceIncome	      금융수익	8,430,000,000	18,550,000,000	2,693,000,000	10,061,000,000		
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_GrossProfit	      매출총이익	42,131,000,000	482,111,000,000	41,416,000,000	687,827,000,000		
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	3,146,000,000	9,317,000,000	2,925,000,000	6,461,000,000		
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)	10,117,000,000	422,655,000,000	8,796,000,000	625,122,000,000		
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)	13,263,000,000	431,972,000,000	11,721,000,000	631,583,000,000		
