재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_ReversalsOfImpairmentLossesOfFinancialAssets	            신용손실충당금 환입액	14,672,211,966		
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_InvestmentIncomeExpenses	      투자손익	45,054,355,229	56,848,964,380	49,790,656,388
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_OperatingExpenseInvestment	         투자영업비용	1,014,477,473,325	772,339,041,598	801,001,281,623
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_AdditionalImpairmentLossesOfFinancialAssets	            신용손실충당금 전입액	1,043,909,849	23,204,174,457	0
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_FinanceExpensesFromReinsuranceContractsHeldRecognisedInProfitOrLoss	            재보험금융비용	3,442,321,223	3,239,570,609	2,406,884,662
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_InsuranceFinanceExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss	            보험금융비용	322,668,798,003	383,558,346,421	247,984,523,366
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융상품관련손실	36,690,346,488	16,456,342,639	0
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융상품관련손실	220,725,317,128	118,235,565,076	0
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_LossesFromDerivatives	            파생상품관련비용	325,269,001,527	143,968,940,549	224,278,990,109
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_OtherOperatingExpenseInvestment	            기타투자비용	21,827,393,196	19,300,308,275	12,155,129,493
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00168933_LossOnValuationAndDisposalOfFinancialInstrumentsOfOperatingExpenseInvestment	            금융상품평가및처분손실	0	0	263,684,283,398
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_ForeignExchangeLoss	            외화거래손실	10,216,728,918	19,367,930,212	20,163,603,972
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_InterestExpense	            금융부채의 이자비용	70,722,312,962	43,214,304,168	28,878,474,010
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_SellingGeneralAndAdministrativeExpense	            재산관리비	1,871,344,031	1,793,559,192	1,449,392,613
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_InvestmentIncome	         투자영업수익	1,059,531,828,554	829,188,005,978	850,791,938,011
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_FinanceIncomeFromReinsuranceContractsHeldRecognisedInProfitOrLoss	            재보험금융수익	1,912,392,396	1,431,847,708	1,102,406,418
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_GainFromDerivatives	            파생상품관련수익	9,233,292,564	45,571,062,071	93,615,770,947
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_GainFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융상품관련이익	5,145,439,763	398,765,912	0
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융상품관련이익	171,864,322,846	247,719,754,094	0
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_InsuranceFinanceIncomeFromInsuranceContractsIssuedRecognisedInProfitOrLoss	            보험금융수익	110,844,638,988	79,081,023,750	172,137,726,081
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_OtherOperatingIncomeInvestment	            기타투자수익	88,568,897,832	73,501,307,248	2,597,946,035
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00168933_GainOnValuationAndDisposalOfFinancialInstrumentsOfInvestmentIncome	            금융상품평가및처분이익	0	0	75,217,730,756
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_ForeignExchangeGain	            외화거래이익	358,790,837,897	101,825,008,728	155,509,491,713
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_RevenueFromDividends	            배당금수익	9,925,436,801	8,577,935,794	89,615,564,485
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_RevenueFromInterest	            이자수익	288,574,357,501	271,081,300,673	260,995,301,576
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_NonOperatingProfitLoss	      영업외손익	-3,484,240,165	3,047,922,563	-2,308,389,964
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_NonOperatingExpense	         영업외비용	3,781,804,165	186,342,040	2,682,059,461
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_NonOperatingIncome	         영업외수익	297,564,000	3,234,264,603	373,669,497
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncome	      총포괄손익	-664,194,338,718	-31,889,598,534	1,153,276,931,000
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본주당순이익	3,425	3,319	2,728
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         희석주당순이익	3,425	3,319	2,728
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)	8,645,884,934	7,575,298,803	34,418,471,996
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_InsuranceServiceResult	      보험손익	113,892,656,499	90,630,610,947	105,928,505,356
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_OperatingExpenseInsurance	         보험서비스비용	572,663,797,920	561,716,328,305	456,812,121,809
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_OtherOperatingExpenseInsurance	            기타사업비용	10,798,856,953	10,411,242,104	10,424,119,135
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00168933_PremiumPaidForReinsuranceContractsOfOperatingExpenseInsurance	            기타보험영업비용	0	0	0
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_ExpensesFromAllocationOfPremiumsPaidToReinsurer	            재보험비용	8,940,471,559	15,444,131,060	15,096,734,146
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_InsuranceServiceExpensesFromInsuranceContractsIssued	            보험비용	552,924,469,408	535,860,955,141	431,291,268,528
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_OperatingIncomeInsurance	         보험영업수익	686,556,454,419	652,346,939,252	562,740,627,165
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_IncomeFromAmountsRecoveredFromReinsurer	            재보험수익	10,257,485,658	23,605,439,182	11,869,308,931
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_InsuranceRevenue	            보험수익	676,298,968,761	628,741,500,070	550,871,318,234
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncome	      기타포괄손익	-811,011,225,347	-174,841,797,621	1,034,284,631,216
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax	         후속적으로 당기손익으로 재분류될 수 있는 항목	-804,797,778,606	-182,776,763,681	1,031,707,365,072
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_OtherComprehensiveIncomeNetOfTaxCreditLossesOfFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융자산 기대신용손실	-17,438,099,560	22,454,602,284	0
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00168933_OtherComprehensiveIncomeNetOfTaxAvailableForSaleFinancialAssetsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax	            매도가능금융자산평가손익	0	0	-121,023,863,792
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00168933_OtherComprehensiveIncomeNetOfTaxHeldToMaturityFinancialAssetsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax	            만기보유금융자산평가손익	0	0	-45,842,722,947
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxCashFlowHedges	            위험회피목적파생상품평가손익	22,454,604,432	31,093,720,449	-6,974,523,926
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxFinanceIncomeExpensesFromReinsuranceContractsHeldExcludedFromProfitOrLoss	            재보험계약자산(부채)순금융손익	-10,755,658,887	-8,244,403,761	19,697,121,076
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정채무증권평가손익	-22,626,476,771	304,036,085,060	0
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxInsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedExcludedFromProfitOrLossThatWillBeReclassifiedToProfitOrLoss	            보험계약자산(부채)순금융손익	-776,432,147,820	-532,116,767,713	1,185,851,354,661
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax	         후속적으로 당기손익으로 재분류되지 않는 항목	-6,213,446,741	7,934,966,060	2,577,266,144
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments	            기타포괄손익-공정가치측정지분증권평가손익	-3,299,015,784	9,681,628,182	0
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans	            확정급여부채의 재측정요소	-2,914,430,957	-1,746,662,122	2,577,266,144
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)	146,816,886,629	142,952,199,087	118,992,299,784
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세차감전순이익	155,462,771,563	150,527,497,890	153,410,771,780
 포괄손익계산서, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossFromOperatingActivities	      영업이익(손실)	158,947,011,728	147,479,575,327	155,719,161,744
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_InvestmentIncomeExpenses	      투자손익	743,568,224,720	466,754,713,684	574,671,652,711
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_OperatingExpenseInvestment	         투자영업비용	3,034,886,560,050	2,380,850,795,108	2,429,697,248,099
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_AdditionalImpairmentLossesOfFinancialAssets	            신용손실충당금 전입액	86,297,772,206	49,482,115,022	0
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_InsuranceFinanceExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss	            보험금융비용	849,967,826,228	893,430,915,188	850,476,683,551
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_LossArisingFromDerecognitionOfFinancialInstrumentsMeasuredAtAmortisedCost	            상각후원가측정금융상품제거손실	422,717,044	94,662,594	0
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융상품관련손실	35,104,995,985	35,119,729,364	0
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융상품관련손실	254,021,215,129	208,350,855,331	0
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_LossesFromDerivatives	            파생상품관련비용	1,335,157,493,378	752,641,791,450	1,013,559,366,560
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_OtherOperatingExpenseInvestment	            기타투자비용	47,376,027,590	42,420,187,716	37,143,292,320
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00159102_udf_IS_2025228185337724OfOperatingExpenseInvestment	            부동산관리비	21,099,921,045	21,398,632,681	20,062,414,489
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00159102_udf_IS_2025228185410540OfOperatingExpenseInvestment	            당기손익인식금융상품관련손실	0	0	19,884,552,522
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00159102_udf_IS_2025228185458396OfOperatingExpenseInvestment	            매도가능금융상품관련손실	0	0	128,104,135,022
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00159102_udf_IS_2025228185526731OfOperatingExpenseInvestment	            대출채권처분손실	0	0	25,021
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00159102_udf_IS_202535203926351OfOperatingExpenseInvestment	            대손상각비	0	0	27,467,228,027
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_ForeignExchangeLoss	            외화거래손실	45,740,289,706	68,386,344,623	128,042,075,642
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_InterestExpense	            금융부채의 이자비용	323,553,538,298	266,523,523,639	159,671,622,630
 포괄손익계산서, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_SellingGeneralAndAdministrativeExpense	            재산관리비	36,144,763,441	43,002,037,500	45,285,852,315
