재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기 3개월 	당기 3분기 누적 	전기 3분기 3개월 	전기 3분기 누적 	전기	전전기
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_NonOperatingProfitLoss	      기타순손익	8,599,000	-931,371,000	-1,544,242,000	162,703,915,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	      영업이익	20,837,351,000	110,702,080,000	7,565,481,000	100,627,748,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_BasicEarningsLossPerSharePreferredStock	         우선주기본주당순이익	549	2,968	100	6,343		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_DilutedEarningsLossPerSharePreferredStock	         우선주희석주당순이익	549	2,968	100	6,343		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	entity00148540_BasicEarningsLossPerShareOfNewPreferenceSharesOfEarningsPerShareAbstract	         신형우선주주당순이익	536	2,930	88	6,306		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	entity00148540_DilutedEarningsLossPerShareOfNewPreferenceSharesOfEarningsPerShareAbstract	         신형우선주희석주당순이익	536	2,930	88	6,306		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주 기본주당순이익	536	2,930	88	6,306		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         보통주 희석주당순이익	536	2,930	88	6,306		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_FinanceCosts	      금융비용	2,312,647,000	7,844,034,000	2,902,586,000	9,224,606,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_FinanceIncome	      금융수익	44,733,000	549,817,000	276,094,000	938,083,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	560,171,000	4,134,417,000	414,093,000	43,517,560,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_OperatingExpense	      영업비용	21,951,823,000	94,443,273,000	31,051,535,000	87,847,004,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_ProfitLoss	      분기순이익(손실)	18,017,865,000	98,342,075,000	2,980,654,000	211,527,580,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익	18,578,036,000	102,476,492,000	3,394,747,000	255,045,140,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_Revenue	      매출액	42,789,174,000	205,145,353,000	38,617,016,000	188,474,752,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_OtherRevenue	         기타수익	1,465,067,000	25,818,562,000	1,472,589,000	26,094,309,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_RevenueFromDividends	         배당금수익	10,060,524,000	91,694,789,000	7,778,249,000	76,714,302,000		
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_RevenueFromRoyalties	         로열티수익	31,263,583,000	87,632,002,000	29,366,178,000	85,666,141,000		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)	108,898,341,458	245,940,658,127	98,456,837,126	265,934,406,700		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-09-30	3분기보고서	KRW	dart_OtherGains	      기타수익	5,537,880,107	7,540,405,690	2,099,080,578	4,412,002,902		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-09-30	3분기보고서	KRW	dart_OtherLosses	      기타비용	4,890,268,199	14,304,396,956	1,059,230,072	8,026,182,583		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-09-30	3분기보고서	KRW	ifrs-full_CostOfSales	      매출원가	1,877,517,668,586	5,475,075,713,750	1,828,109,318,883	5,443,831,871,359		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-09-30	3분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         지배기업 소유주 기본주당이익	3,017	7,783	4,708	10,573		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-09-30	3분기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         지배기업 소유주 희석주당이익	3,017	7,783	4,708	10,573		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-09-30	3분기보고서	KRW	ifrs-full_FinanceCosts	      금융원가	28,581,224,554	117,484,789,717	34,623,785,528	104,593,697,721		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-09-30	3분기보고서	KRW	ifrs-full_FinanceIncome	      금융수익	4,006,525,381	85,205,052,618	47,602,406,223	104,921,286,468		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-09-30	3분기보고서	KRW	ifrs-full_GrossProfit	      매출총이익	253,164,065,616	697,791,713,244	241,955,900,364	721,009,535,226		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-09-30	3분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	20,855,795,267	39,836,117,851	17,046,341,245	45,905,407,005		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-09-30	3분기보고서	KRW	ifrs-full_ProfitLoss	      분기순이익	64,115,458,926	167,060,811,911	95,428,967,082	216,742,408,761		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-09-30	3분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익	84,971,254,193	206,896,929,762	112,475,308,327	262,647,815,766		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-09-30	3분기보고서	KRW	ifrs-full_Revenue	      매출액	2,130,681,734,202	6,172,867,426,994	2,070,065,219,247	6,164,841,406,585		
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-09-30	3분기보고서	KRW	ifrs-full_SellingGeneralAndAdministrativeExpense	      판매비와관리비	144,265,724,158	451,851,055,117	143,499,063,238	455,075,128,526		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2025-09-30	3분기보고서	KRW	dart_GainsOnSaleOfInvestmentsInAssociates	      관계기업/공동기업투자처분이익	14,770,717,512	14,770,717,512	0	0		
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2025-09-30	3분기보고서	KRW	dart_LossesOnSaleOfInvestmentsInAssociates	      관계기업/공동기업투자처분손실	230,496,000	230,496,000	0	0		
