재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기말	전기말	전전기말	
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_GainLossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	      당기손익-공정가치 측정 금융자산관련순손익	4,089,300,000		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	         당기손익-공정가치 측정 금융상품관련수익	4,089,300,000		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	         당기손익-공정가치 측정 금융상품관련비용	0		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_NonOperatingProfitLoss	      영업외손익	-321,331,195		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_NonOperatingExpense	         기타비용	-502,697,349		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_NonOperatingIncome	         기타수익	181,366,154		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_ComprehensiveIncome	      총포괄손익	416,762,019,669		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주기본주당이익(손실)	1,270		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         보통주희석주당이익(손실)	1,270		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_FeeAndCommissionIncomeExpense	      순수수료손익	5,684,043,648		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_FeeAndCommissionExpense	         수수료비용	-1,872,956,352		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_FeeAndCommissionIncome	         수수료수익	7,557,000,000		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	0		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_InterestRevenueExpense	      순이자손익	-27,602,430,289		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_InterestExpense	         이자비용	-28,356,075,790		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_RevenueFromInterest	         이자수익	753,645,501		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_OtherComprehensiveIncome	      기타포괄손익	-247,723,379		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans	            확정급여제도의재측정요소	-247,723,379		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)	417,009,743,048		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세차감전순이익	417,009,743,048		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_ProfitLossFromOperatingActivities	      영업이익(손실)	417,331,074,243		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_RevenueFromDividends	      배당금수익	459,500,000,000		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_ReversalAllowanceAccountForCreditLossesOfFinancialAssets	      신용손실충당금 환입액	0		
 포괄손익계산서, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_SellingGeneralAndAdministrativeExpense	      일반관리비	-24,339,839,116		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_AdjustedProfitLossNetOfRegulatoryReserveForCreditLoss	      대손준비금 반영후 조정이익(손실)	32,582,289,938		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_GainLossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	      당기손익-공정가치측정금융상품관련손익	20,068,974,193		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_NonOperatingProfitLoss	      영업외손익	-3,069,790,857		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_NonOperatingExpense	         영업외비용	-4,303,986,861		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_NonOperatingIncome	         영업외수익	1,234,196,004		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_OtherOperatingExpense	      기타영업비용	-316,938,848,179		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_OtherOperatingIncome	      기타영업수익	369,348,574,311		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_AdditionalAllowanceRecognisedInProfitOrLossAllowanceAccountForCreditLossesOfFinancialAssets	      신용손실충당금 전입액	-82,403,427,929		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_ComprehensiveIncome	      총포괄손익	68,944,839,454		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주기본주당이익(손실)	1,126		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         보통주희석주당이익(손실)	1,126		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_FeeAndCommissionIncomeExpense	      순수수료손익	12,778,010,326		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_FeeAndCommissionExpense	         수수료비용	-7,087,883,253		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_FeeAndCommissionIncome	         수수료수익	19,865,893,579		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	-19,458,952,620		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_InterestRevenueExpense	      순이자손익	137,244,945,289		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_InterestExpense	         이자비용	-162,174,221,494		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_RevenueFromInterest	         이자수익	299,419,166,783		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_OtherComprehensiveIncome	      기타포괄손익	-1,260,531,674		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans	            확정급여제도의재측정요소	-1,260,531,674		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)	70,205,371,128		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세차감전순이익	89,664,323,748		
