재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기말	전기말	전전기말	
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	dart_AdjustedProfitLossNetOfRegulatoryReserveForCreditLoss	      대손준비금 반영후 조정이익	107,953,791,872		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	dart_GainLossFromDerivativesHeldForHedging	      파생상품관련손익	685,277,776		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	dart_GainLossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome	      기타포괄손익-공정가치금융자산 관련손익	37,635,884,689		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	dart_GainLossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	      당기손익-공정가치금융자산 관련손익	57,610,400,816		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	dart_NonOperatingProfitLoss	      영업외손익	-3,641,556,494		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	entity01030132_GainOnDisposalOfLoansOfStatementOfComprehensiveIncomeAbstract	      대출채권매각손익	6,066,807,928		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	ifrs-full_AdditionalAllowanceRecognisedInProfitOrLossAllowanceAccountForCreditLossesOfFinancialAssets	      신용손실에 대한 손상차손	107,636,861,146		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	ifrs-full_ComprehensiveIncome	      총포괄손익	139,160,705,799		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주기본주당이익	1,736		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         보통주희석주당이익	1,736		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	ifrs-full_FeeAndCommissionIncomeExpense	      순수수료이익	22,960,189,009		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	ifrs-full_FeeAndCommissionExpense	         수수료비용	24,419,522,217		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	ifrs-full_FeeAndCommissionIncome	         수수료수익	47,379,711,226		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	41,898,531,097		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	ifrs-full_InterestRevenueExpense	      순이자이익	507,560,518,055		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	ifrs-full_InterestExpense	         이자비용	583,389,378,398		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	ifrs-full_RevenueFromInterest	         이자수익	1,090,949,896,453		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	entity01030132_OtherInterestIncomeOfRevenueFromInterest	            기타의 이자수익	8,481,075,440		
 포괄손익계산서, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-06-30	반기보고서	KRW	ifrs-full_InterestRevenueCalculatedUsingEffectiveInterestMethod	            유효이자율법에 따른 이자수익	1,082,468,821,013		
