순위,종목명,종목코드,종가,시가총액(억원),시장
1,삼성전자,005930,141000,8358529,KOSPI
2,SK하이닉스,000660,742000,5394498,KOSPI
3,LG에너지솔루션,373220,370500,863460,KOSPI
4,삼성전자우,005935,103300,838822,KOSPI
5,삼성바이오로직스,207940,1767000,817961,KOSPI
6,현대차,005380,350500,718700,KOSPI
7,HD현대중공업,329180,557000,583584,KOSPI
8,SK스퀘어,402340,429500,567314,KOSPI
9,두산에너빌리티,034020,84000,535509,KOSPI
10,한화에어로스페이스,012450,1010000,519759,KOSPI
11,기아,000270,129300,503242,KOSPI
12,셀트리온,068270,211000,486173,KOSPI
13,KB금융,105560,124700,475683,KOSPI
14,삼성물산,028260,265000,448738,KOSPI
15,NAVER,035420,252500,394484,KOSPI
16,신한지주,055550,79000,382570,KOSPI
17,한화오션,042660,121200,370760,KOSPI
18,현대모비스,012330,392500,355218,KOSPI
19,삼성생명,032830,162000,322600,KOSPI
20,한국전력,015760,49600,318093,KOSPI
21,HD현대일렉트릭,267260,821000,295947,KOSPI
22,HD한국조선해양,009540,418000,294770,KOSPI
23,카카오,035720,59300,262357,KOSPI
24,하나금융지주,086790,93500,259956,KOSPI
25,알테오젠,196170,471000,251745,KOSDAQ GLOBAL
26,POSCO홀딩스,005490,308000,248869,KOSPI
27,고려아연,010130,1239000,230864,KOSPI
28,LG화학,051910,319500,224484,KOSPI
29,삼성화재,000810,485500,223154,KOSPI
30,삼성중공업,010140,25350,223080,KOSPI
31,현대로템,064350,202500,219922,KOSPI
32,삼성SDI,006400,270500,217581,KOSPI
33,SK,034730,282000,204095,KOSPI
34,우리금융지주,316140,27750,203339,KOSPI
35,삼성전기,009150,267500,200179,KOSPI
36,HMM,011200,19930,187799,KOSPI
37,메리츠금융지주,138040,106600,186786,KOSPI
38,한미반도체,042700,186500,177185,KOSPI
39,삼성에피스홀딩스,0126Z0,697000,173684,KOSPI
40,SK이노베이션,096770,102000,172434,KOSPI
41,효성중공업,298040,1825000,170080,KOSPI
42,KT&G,033780,143200,168825,KOSPI
43,기업은행,024110,20750,165067,KOSPI
44,현대글로비스,086280,218500,162938,KOSPI
45,포스코퓨처엠,003670,180000,159747,KOSPI
46,미래에셋증권,006800,28000,158784,KOSPI
47,HD현대,267250,193600,152378,KOSPI
48,LG전자,066570,92300,150181,KOSPI
49,에코프로비엠,247540,146800,143475,KOSDAQ GLOBAL
50,LS ELECTRIC,010120,475500,142650,KOSPI
51,하이브,352820,329000,139624,KOSPI
52,삼성에스디에스,018260,177700,137423,KOSPI
53,KT,030200,52400,133319,KOSPI
54,한국항공우주,047810,136100,132469,KOSPI
55,LG,003550,82200,126462,KOSPI
56,에코프로,086520,92500,125186,KOSDAQ GLOBAL
57,두산,000150,758000,122587,KOSPI
58,에이비엘바이오,298380,210500,115763,KOSDAQ
59,SK텔레콤,017670,53100,114054,KOSPI
60,한화시스템,272210,58500,110518,KOSPI
61,크래프톤,259960,232000,110214,KOSPI
62,현대오토에버,307950,394500,107913,KOSPI
63,LIG넥스원,079550,489500,107690,KOSPI
64,카카오뱅크,323410,21600,103034,KOSPI
65,SK바이오팜,326030,124600,97422,KOSPI
66,한국금융지주,071050,170400,94734,KOSPI
67,S-Oil,010950,80900,90854,KOSPI
68,레인보우로보틱스,277810,466000,90597,KOSDAQ
69,유한양행,000100,113200,90364,KOSPI
70,DB손해보험,005830,124700,88146,KOSPI
71,삼양식품,003230,1158000,87157,KOSPI
72,HD현대마린솔루션,443060,191000,86296,KOSPI
73,포스코인터내셔널,047050,48350,84795,KOSPI
74,현대건설,000720,74700,83405,KOSPI
75,키움증권,039490,310000,82846,KOSPI
76,현대차2우B,005387,235500,82340,KOSPI
77,에이피알,278470,219500,82160,KOSPI
78,대한항공,003490,22100,81377,KOSPI
79,이수페타시스,007660,109200,79943,KOSPI
80,한진칼,180640,114900,76910,KOSPI
81,NH투자증권,005940,21200,75723,KOSPI
82,HLB,028300,54300,71333,KOSDAQ
83,아모레퍼시픽,090430,120700,70425,KOSPI
84,한국타이어앤테크놀로지,161390,56500,69866,KOSPI
85,삼성증권,016360,77300,68850,KOSPI
86,LS,006260,207500,65778,KOSPI
87,카카오페이,377300,48450,65545,KOSPI
88,리가켐바이오,141080,178900,65496,KOSDAQ GLOBAL
89,LG이노텍,011070,275000,65085,KOSPI
90,한화,000880,84000,62890,KOSPI
91,LG디스플레이,034220,12540,62700,KOSPI
92,LG유플러스,032640,14470,62110,KOSPI
93,삼성카드,029780,52900,61289,KOSPI
94,LG씨엔에스,064400,62000,60069,KOSPI
95,삼천당제약,000250,255000,59817,KOSDAQ
96,한미약품,128940,464000,59315,KOSPI
97,코웨이,021240,82400,59253,KOSPI
98,코오롱티슈진,950160,70700,58921,KOSDAQ
99,펩트론,087010,246500,57244,KOSDAQ
100,두산밥캣,241560,59700,57130,KOSPI
101,두산로보틱스,454910,86800,56069,KOSPI
102,현대차우,005385,230000,53684,KOSPI
103,맥쿼리인프라,088980,11170,53448,KOSPI
104,GS,078930,57000,52869,KOSPI
105,CJ,001040,177400,51672,KOSPI
106,리노공업,058470,64200,49309,KOSDAQ GLOBAL
107,대한전선,001440,26300,49129,KOSPI
108,BNK금융지주,138930,15540,48767,KOSPI
109,JB금융지주,175330,25000,47661,KOSPI
110,삼성E&A,028050,24150,47334,KOSPI
111,엔씨소프트,036570,214500,46320,KOSPI
112,한화솔루션,009830,26800,46153,KOSPI
113,파마리서치,214450,432500,44935,KOSDAQ GLOBAL
114,포스코DX,022100,28350,43178,KOSPI
115,디앤디파마텍,347850,98900,43057,KOSDAQ
116,산일전기,062040,137900,41984,KOSPI
117,넷마블,251270,48500,41601,KOSPI
118,오리온,271560,104400,41315,KOSPI
